state,county,poverty_pct,med_income
GA,toombs county,24.5,34008
GA,towns county,18.1,39453
GA,treutlen county,27.1,32536
GA,troup county,19.5,41141
GA,turner county,31.7,32171
GA,twiggs county,28.1,36886
GA,union county,15.1,40667
GA,upson county,25.9,34867
GA,walker county,20,39078
GA,walton county,15.6,52082
GA,ware county,28.8,34288
GA,warren county,28.9,31623
GA,washington county,30.2,36137
GA,wayne county,25.5,41093
GA,webster county,22.8,33893
GA,wheeler county,38.9,30264
GA,white county,16.9,42126
GA,whitfield county,20.7,43731
GA,wilcox county,30.7,32722
GA,wilkes county,26.7,32042
GA,wilkinson county,23.2,34512
GA,worth county,22.6,40382
HI,hawaii,11.5,69549
HI,hawaii county,18.1,51887
HI,honolulu county,9.8,73985
HI,kalawao county,0,0
HI,kauai county,12.3,58883
HI,maui county,13.1,64916
ID,idaho,14.8,47572
ID,ada county,11.6,57908
ID,adams county,14.9,40777
ID,bannock county,17.4,44324
ID,bear lake county,13.4,45504
ID,benewah county,15.7,46277
ID,bingham county,15,47292
ID,blaine county,10.6,63490
ID,boise county,15.6,50874
ID,bonner county,16.2,45193
ID,bonneville county,15.5,51440
ID,boundary county,16.7,42720
ID,butte county,14.8,42907
ID,camas county,12.8,49569
ID,canyon county,18,43489
ID,caribou county,11.5,55770
ID,cassia county,15.6,45078
ID,clark county,17.3,45979
ID,clearwater county,16.6,41304
ID,custer county,15.7,42704
ID,elmore county,14.4,45049
ID,franklin county,10.8,50545
ID,fremont county,15.1,45578
ID,gem county,15.9,41688
ID,gooding county,17.1,44669
ID,idaho county,16.3,39551
ID,jefferson county,11.5,52428
ID,jerome county,15.7,46513
ID,kootenai county,12.9,49061
ID,latah county,19.9,43482
ID,lemhi county,18.2,37869
ID,lewis county,13.7,39918
ID,lincoln county,14.1,44046
ID,madison county,27.1,36065
ID,minidoka county,16.8,46332
ID,nez perce county,14.6,46214
ID,oneida county,13.9,46503
ID,owyhee county,23.6,38478
ID,payette county,14.2,45533
ID,power county,15.7,48048
ID,shoshone county,18.9,36577
ID,teton county,11.6,57644
ID,twin falls county,14.5,44236
ID,valley county,11.7,49380
ID,washington county,17.8,35955
IL,illinois,14.3,57458
IL,adams county,14.2,46061
IL,alexander county,35.6,30699
IL,bond county,16.2,49886
IL,boone county,10.2,58792
IL,brown county,14.2,50225
IL,bureau county,13.1,52138
IL,calhoun county,12.1,49689
IL,carroll county,12.6,50750
IL,cass county,13.2,46289
IL,champaign county,22.6,47966
IL,christian county,14.4,46870
IL,clark county,13.9,50645
IL,clay county,13.6,45709
IL,clinton county,9.9,60556
IL,coles county,22.9,41319
IL,cook county,17.1,55058
IL,crawford county,15.2,45889
IL,cumberland county,12.2,49567
IL,dekalb county,14.7,56536
IL,de witt county,10.9,55193
IL,douglas county,10,52526
IL,dupage county,7.9,80037
IL,edgar county,15.1,45485
IL,edwards county,11.6,46894
IL,effingham county,11.8,52578
IL,fayette county,17.5,41268
IL,ford county,12.1,50877
IL,franklin county,19.9,37758
IL,fulton county,16.5,44435
IL,gallatin county,17.5,41045
IL,greene county,16.2,39738
IL,grundy county,8.5,70092
IL,hamilton county,14,49790
IL,hancock county,11.6,48767
IL,hardin county,20.6,37331
IL,henderson county,11.7,50999
IL,henry county,11.3,51025
IL,iroquois county,15.8,46895
IL,jackson county,30.4,34395
IL,jasper county,11,52919
IL,jefferson county,19.5,43073
IL,jersey county,11.6,52493
IL,jo daviess county,10.7,51282
IL,johnson county,15.9,45773
IL,kane county,10.7,72131
IL,kankakee county,14.7,56326
IL,kendall county,5.4,90640
IL,knox county,19.3,38992
IL,lake county,9.5,78001
IL,la salle county,13.6,51205
IL,lawrence county,18.1,41759
IL,lee county,10.9,54472
IL,livingston county,11.9,53918
IL,logan county,12.6,54353
IL,mcdonough county,23.6,42684
IL,mchenry county,6.9,76856
IL,mclean county,14.3,60460
IL,macon county,16.3,47575
IL,macoupin county,12.9,48544
IL,madison county,13.1,54375
IL,marion county,18.6,44289
IL,marshall county,10.7,53732
IL,mason county,14.8,46878
IL,massac county,20.7,40590
IL,menard county,10.1,61388
IL,mercer county,9.6,54916
IL,monroe county,5.1,73684
IL,montgomery county,17,45288
IL,morgan county,15.1,46406
IL,moultrie county,11.8,52790
IL,ogle county,11.4,57126
IL,peoria county,16.7,52448
IL,perry county,16.7,42032
IL,piatt county,7.4,65971
IL,pike county,15.2,39005
IL,pope county,19.7,40722
IL,pulaski county,23,33943
IL,putnam county,8.9,62024
IL,randolph county,13.8,47862
IL,richland county,14.6,43396
IL,rock island county,16.3,48024
IL,st. clair county,19.1,50155
IL,saline county,21,38329
IL,sangamon county,15.3,55371
IL,schuyler county,13.2,47092
IL,scott county,12,51584
IL,shelby county,11.7,48994
IL,stark county,11.9,50219
IL,stephenson county,14.1,48569
IL,tazewell county,9.1,60490
IL,union county,17.9,40957
IL,vermilion county,19,42036
IL,wabash county,14.8,49385
IL,warren county,13.5,44180
IL,washington county,10.2,54683
IL,wayne county,14.9,46839
IL,white county,14.1,46927
IL,whiteside county,12.2,49895
IL,will county,8.1,75176
IL,williamson county,15.8,46322
IL,winnebago county,16.9,47708
IL,woodford county,6.3,70127
IN,indiana,15.2,49384
IN,adams county,15.4,50172
IN,allen county,15.2,48651
IN,bartholomew county,11.8,54101
IN,benton county,12.8,46196
IN,blackford county,15,39563
IN,boone county,7.2,68352
IN,brown county,12.9,52582
IN,carroll county,10.9,55318
IN,cass county,13.8,44430
IN,clark county,10.6,52050
IN,clay county,14.5,44385
IN,clinton county,12.6,49945
IN,crawford county,18,40657
IN,daviess county,13.8,47670
IN,dearborn county,11.7,59280
IN,decatur county,13.1,50258
IN,de kalb county,10.1,51911
IN,delaware county,22.2,39449
IN,dubois county,8,53211
IN,elkhart county,13.9,50192
IN,fayette county,16.4,40122
IN,floyd county,11.6,53186
IN,fountain county,14.6,45168
IN,franklin county,11.1,54086
IN,fulton county,13,44762
IN,gibson county,11.8,46466
IN,grant county,20,40234
IN,greene county,15.5,41077
IN,hamilton county,4.9,89861
IN,hancock county,6.9,68334
IN,harrison county,10,56787
IN,hendricks county,6.4,70358
IN,henry county,15.5,41955
IN,howard county,16.8,47433
IN,huntington county,10.7,49832
IN,jackson county,14.9,48368
IN,jasper county,10.3,55190
IN,jay county,19.9,38663
IN,jefferson county,16.2,45964
IN,jennings county,17.5,43783
IN,johnson county,10.2,58833
IN,knox county,17.4,44077
IN,kosciusko county,12,54068
IN,lagrange county,10.9,52003
IN,lake county,17.6,50774
IN,la porte county,17.9,46243
IN,lawrence county,12.5,45232
IN,madison county,16.7,44730
IN,marion county,21.3,42700
IN,marshall county,10.9,52508
IN,martin county,13.5,48381
IN,miami county,17.1,41065
IN,monroe county,24,43841
IN,montgomery county,12.3,46945
IN,morgan county,11.5,54849
IN,newton county,11.5,51285
IN,noble county,11.1,50997
IN,ohio county,11.1,51403
IN,orange county,18,39572
IN,owen county,15.4,46001
IN,parke county,17.5,42056
IN,perry county,15.5,44623
IN,pike county,11.3,47217
IN,porter county,10,63030
IN,posey county,10.7,59975
IN,pulaski county,14.2,43770
IN,putnam county,13.5,49467
IN,randolph county,16.1,41577
IN,ripley county,10.7,52491
IN,rush county,14.4,47418
IN,st. joseph county,17.2,46388
IN,scott county,17.6,41649
IN,shelby county,11.8,54831
IN,spencer county,9.3,54468
IN,starke county,15.5,43740
IN,steuben county,12.8,50078
IN,sullivan county,16.9,43933
IN,switzerland county,17.4,47606
IN,tippecanoe county,22.1,46276
IN,tipton county,9.5,55008
IN,union county,13.8,47410
IN,vanderburgh county,17.7,42622
IN,vermillion county,13.9,44388
IN,vigo county,20.2,41260
IN,wabash county,15.2,45151
IN,warren county,9.9,55925
IN,warrick county,8.2,65793
IN,washington county,16.2,43573
IN,wayne county,17.8,40929
IN,wells county,10.7,51182
IN,white county,11.2,50731
IN,whitley county,9.4,59266
IA,iowa,12.3,53816
IA,adair county,10.3,48216
IA,adams county,12.2,51929
IA,allamakee county,12.4,45229
IA,appanoose county,17.5,40422
IA,audubon county,11.1,50014
IA,benton county,8.8,61931
IA,black hawk county,14.5,51331
IA,boone county,10.4,54186
IA,bremer county,7.6,62438
IA,buchanan county,10.7,55781
IA,buena vista county,12.4,50719
IA,butler county,9.9,52273
IA,calhoun county,13.7,49456
IA,carroll county,9.9,52367
IA,cass county,13.1,46159
IA,cedar county,7.9,61423
IA,cerro gordo county,12,49569
IA,cherokee county,9.6,52894
IA,chickasaw county,9.8,50788
IA,clarke county,14.4,45413
IA,clay county,11.5,51514
IA,clayton county,10.8,49018
IA,clinton county,12.9,48528
IA,crawford county,11.6,50370
IA,dallas county,6.2,79173
IA,davis county,15.4,46750
IA,decatur county,21.3,36742
IA,delaware county,8.9,55958
IA,des moines county,15.7,45292
IA,dickinson county,7.4,56551
IA,dubuque county,11.5,55320
IA,emmet county,11.3,47342
IA,fayette county,14.4,45522
IA,floyd county,12.7,48292
IA,franklin county,12.1,51045
IA,fremont county,11.7,54154
IA,greene county,13.2,49125
IA,grundy county,6.7,61215
IA,guthrie county,12.4,49507
IA,hamilton county,9.4,53691
IA,hancock county,8.4,57682
IA,hardin county,11.7,53277
IA,harrison county,11,52824
IA,henry county,13.3,50347
IA,howard county,12.1,49837
IA,humboldt county,10.1,49696
IA,ida county,10.9,53905
IA,iowa county,7.5,58234
IA,jackson county,11.3,50299
IA,jasper county,11.2,52750
IA,jefferson county,16.9,41094
IA,johnson county,15.9,59946
IA,jones county,11.6,51558
IA,keokuk county,13.5,48316
IA,kossuth county,9.6,52967
IA,lee county,17.7,44719
IA,linn county,9.3,62700
IA,louisa county,11.1,50924
IA,lucas county,16,42582
IA,lyon county,7.9,61750
IA,madison county,8.8,62230
IA,mahaska county,12.9,48584
IA,marion county,11.1,57046
IA,marshall county,13,50244
IA,mills county,9.7,59399
IA,mitchell county,11.5,52616
IA,monona county,14.3,43178
IA,monroe county,11.7,44705
IA,montgomery county,19.3,42046
IA,muscatine county,11.4,54441
IA,o'brien county,10.3,55968
IA,osceola county,9.1,51423
IA,page county,14.6,46927
IA,palo alto county,11.5,50600
IA,plymouth county,7.6,62745
IA,pocahontas county,12.9,49625
IA,polk county,13.1,61028
IA,pottawattamie county,12.3,51947
IA,poweshiek county,12.1,52791
IA,ringgold county,16.6,42854
IA,sac county,10.8,49513
IA,scott county,12.2,54959
IA,shelby county,9.6,55637
IA,sioux county,7.5,60205
IA,story county,19.5,52128
IA,tama county,12.9,54957
IA,taylor county,13.1,46501
IA,union county,12.8,44905
IA,van buren county,14.4,42555
IA,wapello county,16.7,42414
IA,warren county,6.3,67342
IA,washington county,10.2,56243
IA,wayne county,16.7,42006
IA,webster county,16.3,43490
IA,winnebago county,10.4,50703
IA,winneshiek county,9.4,55984
IA,woodbury county,15.2,45641
IA,worth county,11,50286
IA,wright county,12,50108
KS,kansas,13.5,52392
KS,allen county,18.2,39196
KS,anderson county,14.3,45368
KS,atchison county,17.4,44199
KS,barber county,12.4,51676
KS,barton county,17.8,46942
KS,bourbon county,18.4,38430
KS,brown county,17.3,45781
KS,butler county,11.3,60123
KS,chase county,13.2,47025
KS,chautauqua county,16.4,39120
KS,cherokee county,17.4,40686
KS,cheyenne county,11.5,41797
KS,clark county,13,47650
KS,clay county,10.9,53131
KS,cloud county,14,42697
KS,coffey county,10.9,55705
KS,comanche county,11.4,45353
KS,cowley county,15,45180
KS,crawford county,20.8,38491
KS,decatur county,13.9,41434
KS,dickinson county,11.1,47493
KS,doniphan county,15,47599
KS,douglas county,19.4,49246
KS,edwards county,10.5,49256
KS,elk county,17.4,36471
KS,ellis county,13,49508
KS,ellsworth county,12.4,46961
